id,head_code,bank_name
1,0,中央銀行
2,1,中央信託局
3,4,台灣銀行
4,5,土地銀行
5,6,合作金庫
6,7,第一銀行
7,7,華南銀行
8,9,彰化銀行
9,10,華僑銀行
10,11,上海銀行
11,12,台北富邦銀行
12,13,國泰世華銀行
13,15,中國輸出入銀行
14,16,高雄銀行
15,17,兆豐國際銀行
16,18,全國農業金庫
17,20,日商瑞穗實業銀行
18,21,花旗銀行
19,22,美國銀行
20,23,泰國盤谷銀行
21,24,美國運通銀行
22,25,菲律賓首都銀行
23,26,美商大通銀行
24,27,日商東海銀行
25,28,美商美國紐約銀行
26,29,新加坡大華銀行
27,30,美商道富銀行
28,31,加拿大商多倫多道明銀行
29,32,新加坡商華聯銀行
30,34,美商波士頓
31,35,美商夏威夷銀行
32,37,法國興業銀行
33,38,法商百利銀行
34,39,荷商荷蘭銀行
35,40,中華開發工業銀行
36,48,台灣工業銀行
37,50,台灣中小企業銀行
38,52,新竹國際銀行
39,53,台中銀行
40,54,京城銀行
41,56,花蓮區中小企業銀行
42,57,台東區中小企業銀行
43,72,德商德意志銀行
44,74,美商信孚銀行
45,75,香港商東亞銀行
46,76,美商摩根大通銀行
47,77,加拿大商加拿大皇家銀行
48,78,新加坡發展銀行
49,79,比利時商富通銀行
50,81,香港上海匯豐銀行
51,82,法國國家巴黎銀行
52,83,英商渣打銀行
53,84,美商美國利寶銀行
54,85,新加坡商新加坡
55,86,法商東方匯理銀行
56,87,斐商南非標旗銀行
57,90,加拿大商豐業銀行
58,91,美商加州聯合銀行
59,92,瑞士商瑞士銀行
60,93,荷商荷興銀行
61,95,美商美聯銀行
62,96,澳商澳洲紐西蘭銀行
63,99,比利時商比利時聯合銀行
64,101,台北市第一信用合作社
65,102,華泰銀行
66,103,台灣新光銀行
67,104,台北市第五信用合作社
68,106,台北市第九信用合作社
69,108,陽信銀行
70,114,基隆市第一信用合作社
71,115,基隆市第二信用合作社
72,118,板信銀行
73,119,淡水第一信用合作社
74,120,台北縣淡水信用合作社
75,124,宜蘭縣宜蘭市信用合作社
76,127,桃園信用合作社
77,130,新竹第一信用合作社
78,132,新竹第三信用合作社
79,139,苗栗縣竹南信用合作社
80,146,台中市第二信用合作社
81,147,三信銀行
82,158,彰化第一信用合作社
83,161,彰化第五信用合作社
84,162,彰化縣第六信用合作社
85,163,彰化市第十信用合作社
86,165,彰化縣鹿港信用合作社
87,178,嘉義市第三信用合作社
88,179,嘉義市第四信用合作社
89,188,台南第三信用合作社
90,203,高雄市第二信用合作社
91,204,高雄市第三信用合作社
92,215,花蓮市第一信用合作社
93,216,花蓮第二信用合作
94,222,澎湖縣第一信用合作社
95,223,澎湖縣第二信用合作社
96,224,金門縣信用合作社
97,321,日商三井住友銀行
98,503,基隆市基隆區漁會
99,504,台北縣瑞芳區漁會
100,505,宜蘭縣漁會
101,506,桃園縣桃園區漁會
102,507,新竹縣新竹區漁會
103,512,雲林區漁會
104,515,嘉義縣嘉義區漁會
105,517,台南市南市區漁會
106,518,台南縣南縣區漁會
107,520,高雄市高雄區漁會
108,521,高雄縣漁會
109,523,屏東縣漁會
110,524,台東縣新港區漁會
111,525,澎湖縣澎湖地區漁會
112,603,基隆市農會
113,605,高雄市農會
114,606,台北縣農會
115,607,宜蘭縣農會
116,608,桃園縣農會
117,609,台灣省農會
118,610,新竹縣農會
119,611,苗栗縣後龍鎮農會
120,612,台中縣烏日農會
121,613,南投縣名間鄉農會
122,614,彰化縣農會
123,616,雲林縣農會
124,617,嘉義農會
125,618,台南縣農會
126,619,高雄縣農會
127,620,屏東縣農會
128,621,花蓮縣農會
129,622,台東縣農會
130,623,台北市農會
131,624,澎湖縣農會
132,625,台中市農會
133,627,連江縣農會
134,803,聯邦銀行
135,804,中華銀行
136,805,遠東國際銀行
137,806,復華銀行
138,807,永豐銀行
139,808,玉山銀行
140,809,萬泰銀行
141,810,寶華銀行
142,812,台新國際銀行
143,814,大眾銀行
144,815,日盛銀行
145,816,安泰銀行
146,822,中國信託銀行
147,825,慶豐銀行
148,901,台中縣大里市農會
149,903,台北縣汐止市農會
150,904,台北縣新莊市農會
151,912,宜蘭縣冬山鄉農會
152,913,宜蘭縣五結鄉農會
153,916,南投縣草屯鎮農會
154,922,台南市農會
155,928,台北縣板橋市農會
156,954,其他農會
