id,head_code,branch_code,branch_name
1,0,11,業務局
2,0,22,國庫局
3,1,12,總局
4,1,23,基隆分局
5,1,34,高雄分局
6,1,45,國內銀行處
7,1,56,儲蓄處
8,1,67,信託處
9,1,78,台中分局
10,1,89,調查研究處
11,1,90,台北分局
12,1,104,外匯業務處
13,1,115,成功分局
14,1,126,北高雄分局
15,1,137,基隆分局海港辦事處
16,1,148,台南分局
17,1,159,金山分行
18,1,160,花蓮分局
19,1,171,國際金融業務分局
20,1,182,信義分行
21,1,193,桃園分局
22,1,207,新竹分局
23,1,218,萬華分局
24,1,229,板新分局
25,1,230,員林分局
26,1,241,士林分局
27,1,252,雙和分行
28,1,263,北台中分局
29,1,274,中壢分局
30,1,285,三重分局
31,1,296,嘉義分局
32,4,15,總務室
33,4,26,業務部
34,4,37,營業部
35,4,48,發行部
36,4,59,公庫部
37,4,71,館前分行
38,4,82,信託部
39,4,93,台南分行
40,4,107,台中分行
41,4,118,高雄分行
42,4,129,基隆分行
43,4,130,中興新村分行
44,4,141,嘉義分行
45,4,152,新竹分行
46,4,163,彰化分行
47,4,174,屏東分行
48,4,185,花蓮分行
49,4,196,延平分行
50,4,200,中山分行
51,4,211,高雄加工出口區分行
52,4,222,宜蘭分行
53,4,233,台東分行
54,4,244,澎湖分行
55,4,255,鳳山分行
56,4,266,桃園分行
57,4,277,板橋分行
58,4,288,新營分行
59,4,299,苗栗分行
60,4,303,豐原分行
61,4,314,斗六分行
62,4,325,南投分行
63,4,336,南門分行
64,4,347,公館分行
65,4,358,左營分行
66,4,369,北投分行
67,4,370,霧峰分行
68,4,381,金門分行
69,4,392,馬祖分行
70,4,406,安平分行
71,4,417,中壢分行
72,4,428,三重分行
73,4,439,頭份分行
74,4,440,前鎮分行
75,4,451,城中分行
76,4,462,民權分行
77,4,473,潭子分行
78,4,484,永和分行
79,4,495,員林分行
80,4,509,松江分行
81,4,510,鼓山分行
82,4,521,龍山分行
83,4,532,忠孝分行
84,4,543,信義分行
85,4,554,復興分行
86,4,565,三民分行
87,4,576,台中港分行
88,4,587,羅東分行
89,4,598,埔里分行
90,4,602,岡山分行
91,4,613,新興分行
92,4,624,苓雅分行
93,4,646,松山分行
94,4,657,健行分行
95,4,668,中和分行
96,4,679,太保分行
97,4,680,竹北分行
98,4,691,國際金融業務分行
99,4,705,士林分行
100,4,716,新莊分行
101,4,727,大甲分行
102,4,738,新竹科學園區分行
103,4,749,樹林分行
104,4,750,新店分行
105,4,761,國外管理部
106,4,772,徵信室
107,4,783,中小企業金融部
108,4,794,黎明分行
109,4,808,民生分行
110,4,819,永康分行
111,4,820,三多分行
112,4,831,紐約分行
113,4,853,台北世貿中心分行
114,4,864,大安分行
115,4,875,華江分行
116,4,886,潮州分行
117,4,897,蘇澳分行
118,4,901,大雅分行
119,4,912,楠梓分行
120,4,923,台中工業區分行
121,4,945,洛杉磯分行
122,4,956,阿姆斯特丹分行
123,4,967,歐洲股份有限公司
124,4,1056,法蘭克福代表辦事處
125,4,1067,敦化分行
126,4,1078,南港分行
127,4,1089,和平分行
128,4,1090,水湳分行
129,4,1104,中崙分行
130,4,1115,土城分行
131,4,1126,倫敦代表辦事處
132,4,1148,香港分行
133,4,1159,桃園國際機場分行
134,4,1160,大昌分行
135,4,1171,東京分行
136,4,1182,五甲分行
137,4,1193,博愛分行
138,4,1207,中庄分行
139,4,1218,平鎮分行
140,4,1229,仁愛分行
141,4,1230,南崁分行
142,4,1241,圓山分行
143,4,1355,五股分行
144,4,1366,大里分行
145,4,1377,安南分行
146,4,1388,新加坡分行
147,4,1403,金融卡服務中心
148,4,1414,西屯分行
149,4,1425,天母分行
150,4,1436,鹿港分行
151,4,1447,內壢分行
152,4,1469,台南科學園區分行
153,4,1470,虎尾分行
154,4,1481,淡水分行
155,4,1492,審查部
156,4,1506,消費者金融部
157,4,1517,財務管理部
158,4,1539,內湖分行
159,4,1540,嘉北分行
160,4,1551,東港分行
161,4,1562,汐止分行
162,4,1573,梧棲分行
163,4,1584,朴子簡易型分行
164,4,1595,小港簡易型分行
165,4,1609,中屏分行
166,4,1610,南非分行
167,4,1621,群賢分行
168,4,1643,北大路分行
169,4,1654,文山簡易型分行
170,4,1665,吉安簡易型分行
171,4,1676,南郭簡易型分行
172,4,1687,府城簡易型分行
173,4,1702,太平分行
174,4,1713,德芳分行
175,4,1724,建國分行
176,4,1735,大崙分行
177,4,1746,興農分行
178,4,1757,仁美分行
179,4,1768,鹽埔分行
180,4,1779,厚生分行
181,4,1780,新圍分行
182,4,1791,振興分行
183,4,1805,新園分行
184,4,1816,南興分行
185,4,1827,鹽龍分行
186,4,1838,新東分行
187,4,1861,東桃園分行
